CI0071_03	5739227.829	6597911.341	195.0297
CI0071_03B	5739227.683	6597911.236	197.734
CI0071_03M	5739227.693	6597911.225	199.357
CI0071_03T	5739227.748	6597911.257	201.395
CI0071_04	5739218.175	6597909.115	194.9185
CI0071_04B	5739218.28	6597908.953	196.653
CI0071_04M	5739218.261	6597908.967	198.999
CI0071_04T	5739218.47	6597908.989	200.989
CI0080_01	5739188.018	6597914.928	195.2007
CI0080_01B	5739188.018	6597914.928	198.047
CI0080_01T	5739188.002	6597915.074	200.5
CI0080_02	5739188.311	6597905.631	195.1735
CI0080_02B	5739188.311	6597905.631	197.92
CI0080_02T	5739188.294	6597905.653	200.448
CI0080_03	5739176.834	6597908.223	195.2818
CI0080_03B	5739176.834	6597908.223	198.361
CI0080_03T	5739176.915	6597908.23	200.873
CI0080_04	5739176.712	6597915.05	195.289
CI0080_04B	5739176.712	6597915.05	198.019
CI0080_04T	5739176.573	6597915.032	199.619
CI0082_01	5739173.259	6597908.216	195.2078
CI0082_01B	5739173.259	6597908.216	196.884
CI0082_02	5739173.165	6597914.884	195.1834
CI0082_02B	5739173.165	6597914.884	196.993
CM0010_01B	5738902.542	6599594.8	210.23
CM0010_01M1	5738902.665	6599594.764	214.266
CM0010_01M2	5738902.679	6599594.731	218.097
CM0010_01R	5738902.49	6599594.76	206.9185
CM0010_01T	5738902.72	6599594.696	221.124
CM0010_02B	5738890.984	6599592.947	210.432
CM0010_02M1	5738890.932	6599593.029	214.22
CM0010_02M2	5738890.921	6599593.146	217.88
CM0010_02R	5738890.97	6599592.72	206.0672
CM0010_02T	5738890.933	6599593.159	221.136
CM0010_03B	5738892.302	6599605.012	211.161
CM0010_03M1	5738892.325	6599605.099	214.939
CM0010_03M2	5738892.332	6599605.137	218.425
CM0010_03R	5738891.91	6599604.77	206.4347
CM0010_03T	5738892.348	6599605.21	221.967
CM0010_04B	5738894.749	6599609.296	210.813
CM0010_04M1	5738894.741	6599609.338	214.079
CM0010_04M2	5738894.734	6599609.363	217.119
CM0010_04R	5738894.7	6599608.91	206.3264
CM0010_04T	5738894.727	6599609.371	220.452
CM0010_05B	5738892.389	6599610.783	210.952
CM0010_05M1	5738892.41	6599610.83	214.042
CM0010_05M2	5738892.416	6599610.872	217.189
CM0010_05R	5738892.16	6599610.68	206.331
CM0010_05T	5738892.416	6599610.888	220.508
CM0010_06B	5738912.419	6599595.257	209.97
CM0010_06M1	5738912.415	6599595.217	214.1
CM0010_06M2	5738912.405	6599595.179	218.076
CM0010_06R	5738912.26	6599595.26	205.8553
CM0010_06T	5738912.424	6599595.136	220.845
CM0030_01B	5738877.058	6599585.305	209.701
CM0030_01M1	5738877.042	6599585.317	213.312
CM0030_01M2	5738877.039	6599585.279	216.903
CM0030_01R	5738877.06	6599585.18	206.1083
CM0030_01T	5738877.025	6599585.297	220.505
CM0030_02B	5738895.492	6599580.859	209.535
CM0030_02M1	5738895.712	6599580.895	214.036
CM0030_02M2	5738895.766	6599580.921	218.311
CM0030_02R	5738894.43	6599581.69	206.3845
CM0030_02T	5738895.737	6599580.94	221.639
CM0030_03B	5738903.838	6599580.825	209.388
CM0030_03M1	5738903.755	6599580.809	214.272
